"k","alpha","omega","stabilite"
6,0.9,0.1,0.738471897964019
2,0.95,0.1,0.825504041025603
3,0.95,0.1,0.892965553932383
4,0.95,0.1,0.728744380948537
5,0.95,0.1,0.730161293651687
6,0.95,0.1,0.726540335505311
2,1,0.1,0.845061835456947
3,1,0.1,0.895172586579525
4,1,0.1,0.707981148267022
5,1,0.1,0.731904755435028
6,1,0.1,0.715920103695662
2,0,0.15,0.915039074221279
3,0,0.15,0.820717780839933
4,0,0.15,0.711084774382436
5,0,0.15,0.824230373985978
6,0,0.15,0.85362715594083
2,0.05,0.15,0.919167142116539
3,0.05,0.15,0.852192747099407
4,0.05,0.15,0.635718748203137
5,0.05,0.15,0.635177935388031
6,0.05,0.15,0.796865116405567
2,0.1,0.15,0.916227213089061
3,0.1,0.15,0.904270417230284
4,0.1,0.15,0.668481400873364
5,0.1,0.15,0.770276811766483
6,0.1,0.15,0.814569516759785
2,0.15,0.15,0.935639864657993
3,0.15,0.15,0.916196655593325
4,0.15,0.15,0.658187336799003
5,0.15,0.15,0.727344139404411
6,0.15,0.15,0.827941436950057
2,0.2,0.15,0.907487909654926
3,0.2,0.15,0.918546957520792
4,0.2,0.15,0.670864224847467
5,0.2,0.15,0.719228184730269
6,0.2,0.15,0.791971212771271
2,0.25,0.15,0.888407254554802
3,0.25,0.15,0.913886925613773
4,0.25,0.15,0.647803347212012
5,0.25,0.15,0.720893356028112
6,0.25,0.15,0.773695546013979
2,0.3,0.15,0.868933861487974
3,0.3,0.15,0.951988315946703
4,0.3,0.15,0.668170615036359
5,0.3,0.15,0.63766694014091
6,0.3,0.15,0.747260216842655
2,0.35,0.15,0.852215073388956
3,0.35,0.15,0.940928942188675
4,0.35,0.15,0.681535854142707
5,0.35,0.15,0.674044192994333
6,0.35,0.15,0.766429579815512
2,0.4,0.15,0.871624481059597
3,0.4,0.15,0.907300991372589
4,0.4,0.15,0.670557503665965
5,0.4,0.15,0.681440141116041
6,0.4,0.15,0.773140877414731
2,0.45,0.15,0.828813730633869
3,0.45,0.15,0.922340981137289
4,0.45,0.15,0.567843620420843
5,0.45,0.15,0.669447782647737
6,0.45,0.15,0.769731600171123
2,0.5,0.15,0.787649236177961
3,0.5,0.15,0.921842676274978
4,0.5,0.15,0.586993596102371
5,0.5,0.15,0.67811196068086
6,0.5,0.15,0.709818927420762
2,0.55,0.15,0.828034104386334
3,0.55,0.15,0.896196960019213
