"k","alpha","omega","stabilite"
4,0.1,0.15,0.929364662141457
5,0.1,0.15,0.781892285326461
6,0.1,0.15,0.761480480175148
2,0.15,0.15,0.572954706122423
3,0.15,0.15,0.957332869274412
4,0.15,0.15,0.926285181924418
5,0.15,0.15,0.788590876304971
6,0.15,0.15,0.780319456051407
2,0.2,0.15,0.62542918907637
3,0.2,0.15,0.935860387072762
4,0.2,0.15,0.921701231992419
5,0.2,0.15,0.811482966751261
6,0.2,0.15,0.786219477240486
2,0.25,0.15,0.637854481979173
3,0.25,0.15,0.928658967551088
4,0.25,0.15,0.91683054411125
5,0.25,0.15,0.819006903194131
6,0.25,0.15,0.77296945659609
2,0.3,0.15,0.573310227342803
3,0.3,0.15,0.932155491342931
4,0.3,0.15,0.914143614773737
5,0.3,0.15,0.81440152602357
6,0.3,0.15,0.772752008599252
2,0.35,0.15,0.571409125879766
3,0.35,0.15,0.92491350663851
4,0.35,0.15,0.930156069101203
5,0.35,0.15,0.82196419772989
6,0.35,0.15,0.780996178158932
2,0.4,0.15,0.589384644678518
3,0.4,0.15,0.933437555353961
4,0.4,0.15,0.928601054563223
5,0.4,0.15,0.831073416255066
6,0.4,0.15,0.856218630078332
2,0.45,0.15,0.665824261041989
3,0.45,0.15,0.937906922909318
4,0.45,0.15,0.92393849070864
5,0.45,0.15,0.844084186627928
6,0.45,0.15,0.859875035528728
2,0.5,0.15,0.623627027430333
3,0.5,0.15,0.932123602150471
4,0.5,0.15,0.922492865242742
5,0.5,0.15,0.85049320776706
6,0.5,0.15,0.877798171138365
2,0.55,0.15,0.604647760127862
3,0.55,0.15,0.95003719104084
4,0.55,0.15,0.915307751313524
5,0.55,0.15,0.844511985020419
6,0.55,0.15,0.854638427369328
2,0.6,0.15,0.669632201045937
3,0.6,0.15,0.959941120234995
4,0.6,0.15,0.922129668208521
5,0.6,0.15,0.848987482381368
6,0.6,0.15,0.842767308063384
2,0.65,0.15,0.676405535739041
3,0.65,0.15,0.9610973462619
4,0.65,0.15,0.918981865947293
5,0.65,0.15,0.849598603181546
6,0.65,0.15,0.868601481287562
2,0.7,0.15,0.682386840052112
3,0.7,0.15,0.9675350229531
4,0.7,0.15,0.906677997063899
5,0.7,0.15,0.855617555798565
6,0.7,0.15,0.870917555269215
2,0.75,0.15,0.602227400592066
3,0.75,0.15,0.963859274502571
4,0.75,0.15,0.913539318822508
5,0.75,0.15,0.859623788931316
6,0.75,0.15,0.842785521164283
2,0.8,0.15,0.600831391010581
3,0.8,0.15,0.957213419223411
4,0.8,0.15,0.915225942099633
5,0.8,0.15,0.852687456915677
6,0.8,0.15,0.864126029773142
2,0.85,0.15,0.640785731481198
3,0.85,0.15,0.954851003937002
4,0.85,0.15,0.920332880905481
5,0.85,0.15,0.863554705049681
6,0.85,0.15,0.882189925709757
2,0.9,0.15,0.580038184800498
3,0.9,0.15,0.975779999794056
4,0.9,0.15,0.914020144627501
5,0.9,0.15,0.876551793751403
6,0.9,0.15,0.872679802749312
2,0.95,0.15,0.626889196712149
3,0.95,0.15,0.969864247047799
4,0.95,0.15,0.923999611710445
5,0.95,0.15,0.877528174780819
6,0.95,0.15,0.885857310782994
2,1,0.15,0.553077457510894
3,1,0.15,0.9799115245534
4,1,0.15,0.922670783948777
5,1,0.15,0.880171641644375
6,1,0.15,0.862071988707241
2,0,0.2,0.495698330160349
3,0,0.2,0.986607665480467
4,0,0.2,0.910050541247252
5,0,0.2,0.762938602148269
6,0,0.2,0.807492992712959
2,0.05,0.2,0.533395676718093
3,0.05,0.2,0.980490577702742
4,0.05,0.2,0.930795078346538
5,0.05,0.2,0.782032517239888
6,0.05,0.2,0.801016676099504
2,0.1,0.2,0.610269421742973
3,0.1,0.2,0.95452551612466
4,0.1,0.2,0.917871008397948
5,0.1,0.2,0.763076443852908
6,0.1,0.2,0.792553085841759
2,0.15,0.2,0.679529053784975
3,0.15,0.2,0.935234154847373
4,0.15,0.2,0.938528615021642
5,0.15,0.2,0.746861523198681
6,0.15,0.2,0.780297436521008
2,0.2,0.2,0.624648449559467
3,0.2,0.2,0.937040451160423
4,0.2,0.2,0.92117629157397
5,0.2,0.2,0.743594338451872
6,0.2,0.2,0.79355729896726
2,0.25,0.2,0.556951553645714
3,0.25,0.2,0.946354463235844
4,0.25,0.2,0.874788010287468
5,0.25,0.2,0.748467373175185
6,0.25,0.2,0.792181369072029
2,0.3,0.2,0.575114957944996
3,0.3,0.2,0.924777996731357
4,0.3,0.2,0.88702998195194
5,0.3,0.2,0.754614762980284
6,0.3,0.2,0.782438556359176
2,0.35,0.2,0.521243672354436
3,0.35,0.2,0.93845324864965
4,0.35,0.2,0.925169168816076
5,0.35,0.2,0.797152986634757
6,0.35,0.2,0.796184504656989
2,0.4,0.2,0.564852741254182
3,0.4,0.2,0.941345040452044
4,0.4,0.2,0.909061482377732
5,0.4,0.2,0.789370114402606
6,0.4,0.2,0.789002323765871
2,0.45,0.2,0.576097910192834
3,0.45,0.2,0.93349867417317
