"k","alpha","omega","stabilite"
5,0.3,0.1,0.858380529208522
6,0.3,0.1,0.857657308894773
2,0.35,0.1,0.931014074164318
3,0.35,0.1,0.951589101056929
4,0.35,0.1,0.923579431221281
5,0.35,0.1,0.865993276443532
6,0.35,0.1,0.855636903906255
2,0.4,0.1,0.929312067768063
3,0.4,0.1,0.950841375903244
4,0.4,0.1,0.923082083685754
5,0.4,0.1,0.849312077478279
6,0.4,0.1,0.863848526391886
2,0.45,0.1,0.921948580508113
3,0.45,0.1,0.95621757329842
4,0.45,0.1,0.914126278723228
5,0.45,0.1,0.85410976019666
6,0.45,0.1,0.87534087785216
2,0.5,0.1,0.915852846499515
3,0.5,0.1,0.946823961663282
4,0.5,0.1,0.929764941840533
5,0.5,0.1,0.860650154106205
6,0.5,0.1,0.873674950428622
2,0.55,0.1,0.906558286639548
3,0.55,0.1,0.95503488083833
4,0.55,0.1,0.92092296718942
5,0.55,0.1,0.843733938102093
6,0.55,0.1,0.834365030297791
2,0.6,0.1,0.910977947180806
3,0.6,0.1,0.944407056435441
4,0.6,0.1,0.921938174154968
5,0.6,0.1,0.84209683747307
6,0.6,0.1,0.844407480736007
2,0.65,0.1,0.902618541622327
3,0.65,0.1,0.934326018181697
4,0.65,0.1,0.92322780021714
5,0.65,0.1,0.851952513974234
6,0.65,0.1,0.860786085118073
2,0.7,0.1,0.888401159336829
3,0.7,0.1,0.93967218731082
4,0.7,0.1,0.919786973800812
5,0.7,0.1,0.778663899571285
6,0.7,0.1,0.858361303313357
2,0.75,0.1,0.879338786899354
3,0.75,0.1,0.934417659146138
4,0.75,0.1,0.930518203607304
5,0.75,0.1,0.776022424267597
6,0.75,0.1,0.838227127973627
2,0.8,0.1,0.881878791458347
3,0.8,0.1,0.932138669889372
4,0.8,0.1,0.941887862071829
5,0.8,0.1,0.773560756080124
6,0.8,0.1,0.789468599883727
2,0.85,0.1,0.86583074914643
3,0.85,0.1,0.944771947407486
4,0.85,0.1,0.935388211576981
5,0.85,0.1,0.752955255259359
6,0.85,0.1,0.758599996995649
2,0.9,0.1,0.891690319602642
3,0.9,0.1,0.918730212826622
4,0.9,0.1,0.944271959111856
5,0.9,0.1,0.839265212699218
6,0.9,0.1,0.866516567019741
2,0.95,0.1,0.919421775506351
3,0.95,0.1,0.927538537473231
4,0.95,0.1,0.940533075577205
5,0.95,0.1,0.850541997566806
6,0.95,0.1,0.858140443958876
2,1,0.1,0.905777117722176
3,1,0.1,0.902462933814051
4,1,0.1,0.94258515231272
5,1,0.1,0.851414472716474
6,1,0.1,0.868691729405981
2,0,0.15,0.916679976387228
3,0,0.15,0.939957796029921
4,0,0.15,0.894676339176754
5,0,0.15,0.831743356299684
6,0,0.15,0.797963332465026
2,0.05,0.15,0.929993544809158
3,0.05,0.15,0.927964576286709
4,0.05,0.15,0.908833124030548
5,0.05,0.15,0.83850957212538
6,0.05,0.15,0.791964063094909
2,0.1,0.15,0.932599807774088
3,0.1,0.15,0.939971814147149
4,0.1,0.15,0.907497315328772
5,0.1,0.15,0.845732309802136
6,0.1,0.15,0.774544071304381
2,0.15,0.15,0.9529698552812
3,0.15,0.15,0.94377139160899
4,0.15,0.15,0.919925966192097
5,0.15,0.15,0.838588996530919
6,0.15,0.15,0.7718429957304
2,0.2,0.15,0.9380959042912
3,0.2,0.15,0.935781966156194
4,0.2,0.15,0.908329264803096
5,0.2,0.15,0.838187370510406
6,0.2,0.15,0.774336273031214
2,0.25,0.15,0.949991564852724
3,0.25,0.15,0.931441769909156
4,0.25,0.15,0.909161666791386
5,0.25,0.15,0.839734447243386
6,0.25,0.15,0.774047996901757
2,0.3,0.15,0.93852095794621
3,0.3,0.15,0.936461809152172
4,0.3,0.15,0.917515989338856
5,0.3,0.15,0.847430876690453
6,0.3,0.15,0.765904068351812
2,0.35,0.15,0.946767060207417
3,0.35,0.15,0.945550639199488
4,0.35,0.15,0.896891288393392
5,0.35,0.15,0.853900074299116
6,0.35,0.15,0.782804681510859
2,0.4,0.15,0.955566111002861
3,0.4,0.15,0.939903607911247
4,0.4,0.15,0.917489504107698
5,0.4,0.15,0.753886548561937
6,0.4,0.15,0.800801629362501
2,0.45,0.15,0.944462707158548
3,0.45,0.15,0.946150588211305
4,0.45,0.15,0.92855660667878
5,0.45,0.15,0.738717626426611
6,0.45,0.15,0.81180520924837
2,0.5,0.15,0.945402908643158
3,0.5,0.15,0.943316122913228
4,0.5,0.15,0.923861758009213
5,0.5,0.15,0.858566837743718
6,0.5,0.15,0.832410614634865
2,0.55,0.15,0.956327058812438
3,0.55,0.15,0.93437490460369
4,0.55,0.15,0.925481135924328
5,0.55,0.15,0.845522933451758
6,0.55,0.15,0.83212339128498
2,0.6,0.15,0.930728755724352
3,0.6,0.15,0.936338168906799
4,0.6,0.15,0.92155969729949
5,0.6,0.15,0.851470751518893
6,0.6,0.15,0.838465406759828
2,0.65,0.15,0.93267303157875
3,0.65,0.15,0.928926535944117
4,0.65,0.15,0.93452516047968
5,0.65,0.15,0.849730460130577
6,0.65,0.15,0.858085269773328
2,0.7,0.15,0.933853322350129
3,0.7,0.15,0.930131918858143
4,0.7,0.15,0.925364075409333
5,0.7,0.15,0.838357090157178
6,0.7,0.15,0.862609205206187
2,0.75,0.15,0.917996774045699
3,0.75,0.15,0.931272208521172
4,0.75,0.15,0.92813004172875
5,0.75,0.15,0.85879717691238
6,0.75,0.15,0.87281701492119
2,0.8,0.15,0.90710315419016
3,0.8,0.15,0.933274648199852
4,0.8,0.15,0.934985307129357
5,0.8,0.15,0.86065070302233
6,0.8,0.15,0.877437589695238
2,0.85,0.15,0.900239910545133
3,0.85,0.15,0.922809113777648
4,0.85,0.15,0.933115305143956
5,0.85,0.15,0.84640480333744
6,0.85,0.15,0.885612807350244
2,0.9,0.15,0.872688554032844
3,0.9,0.15,0.938661858383422
4,0.9,0.15,0.947336329237859
5,0.9,0.15,0.846623002216975
6,0.9,0.15,0.87944449125793
2,0.95,0.15,0.856411224825023
3,0.95,0.15,0.905581975023148
4,0.95,0.15,0.940376876515209
5,0.95,0.15,0.853772786123114
6,0.95,0.15,0.894276879553115
2,1,0.15,0.91468779992125
3,1,0.15,0.918828120884088
4,1,0.15,0.956802598946759
5,1,0.15,0.86035916515396
6,1,0.15,0.887928401442036
2,0,0.2,0.919678025646813
3,0,0.2,0.927504611130419
4,0,0.2,0.874363658729997
5,0,0.2,0.765335371072626
6,0,0.2,0.833815658256553
2,0.05,0.2,0.919607172675485
3,0.05,0.2,0.938631811564039
4,0.05,0.2,0.865196366681086
5,0.05,0.2,0.753919895991555
6,0.05,0.2,0.800457716508824
2,0.1,0.2,0.942357288237729
3,0.1,0.2,0.938503484029232
4,0.1,0.2,0.893219732783845
5,0.1,0.2,0.758564671936976
6,0.1,0.2,0.779658729463286
2,0.15,0.2,0.952671262186011
3,0.15,0.2,0.931962762700655
4,0.15,0.2,0.895792037627257
5,0.15,0.2,0.752209764826426
6,0.15,0.2,0.743396921370474
2,0.2,0.2,0.951145731482627
3,0.2,0.2,0.945894262572103
4,0.2,0.2,0.898301233628423
5,0.2,0.2,0.793720544037375
6,0.2,0.2,0.740969521230797
2,0.25,0.2,0.959762310640519
3,0.25,0.2,0.943866299751348
4,0.25,0.2,0.910481415409314
5,0.25,0.2,0.801856929612886
6,0.25,0.2,0.734341640929821
2,0.3,0.2,0.958290062997181
3,0.3,0.2,0.949775741442872
4,0.3,0.2,0.914465536593921
5,0.3,0.2,0.80480106982904
6,0.3,0.2,0.722682145133575
2,0.35,0.2,0.951388281581424
3,0.35,0.2,0.94433384582764
4,0.35,0.2,0.91588904196556
5,0.35,0.2,0.838330957780511
6,0.35,0.2,0.710683629123057
2,0.4,0.2,0.961422555802231
3,0.4,0.2,0.946494787438822
4,0.4,0.2,0.920168386826393
5,0.4,0.2,0.816733177197874
6,0.4,0.2,0.683551257703215
2,0.45,0.2,0.961999440592868
3,0.45,0.2,0.945173261665492
4,0.45,0.2,0.913272426203931
5,0.45,0.2,0.818097764068975
6,0.45,0.2,0.744370357102833
2,0.5,0.2,0.958835559861012
3,0.5,0.2,0.947819121431342
4,0.5,0.2,0.913891273518331
5,0.5,0.2,0.828973325810236
6,0.5,0.2,0.703324135457093
2,0.55,0.2,0.956866633052327
3,0.55,0.2,0.943709694094317
4,0.55,0.2,0.911707634697492
5,0.55,0.2,0.842389210793821
6,0.55,0.2,0.779265236916785
2,0.6,0.2,0.948752884524113
3,0.6,0.2,0.940794967856088
4,0.6,0.2,0.917878415221108
5,0.6,0.2,0.835288797512144
6,0.6,0.2,0.787851282691636
2,0.65,0.2,0.948301145492972
3,0.65,0.2,0.936436434979637
4,0.65,0.2,0.922211890697317
5,0.65,0.2,0.833709869946492
6,0.65,0.2,0.798422277074515
2,0.7,0.2,0.935507891657211
3,0.7,0.2,0.940608117638207
4,0.7,0.2,0.913865234062054
5,0.7,0.2,0.837819978020702
6,0.7,0.2,0.822521668108499
2,0.75,0.2,0.928267226377765
3,0.75,0.2,0.937557373798977
4,0.75,0.2,0.918787785295335
5,0.75,0.2,0.842010498875183
6,0.75,0.2,0.813567036990092
2,0.8,0.2,0.920136257752054
3,0.8,0.2,0.931593103908265
4,0.8,0.2,0.913848125304819
5,0.8,0.2,0.870888859539545
6,0.8,0.2,0.854697893780473
2,0.85,0.2,0.911833053944372
3,0.85,0.2,0.922280163900284
4,0.85,0.2,0.92335000672566
5,0.85,0.2,0.850481030792177
6,0.85,0.2,0.860258710347583
2,0.9,0.2,0.897214380306801
3,0.9,0.2,0.923996359035495
4,0.9,0.2,0.94098620463379
5,0.9,0.2,0.858397066555004
6,0.9,0.2,0.880187210581899
2,0.95,0.2,0.850437704847908
3,0.95,0.2,0.92587599491476
4,0.95,0.2,0.928656569694653
5,0.95,0.2,0.85151488724133
6,0.95,0.2,0.869162860570653
2,1,0.2,0.882167833278204
3,1,0.2,0.921971555989231
4,1,0.2,0.949487748700585
5,1,0.2,0.851900996168944
6,1,0.2,0.879897474287613
2,0,0.25,0.901166152244078
3,0,0.25,0.92728867567076
4,0,0.25,0.834706543512304
5,0,0.25,0.850996889553528
6,0,0.25,0.815570653627495
2,0.05,0.25,0.925250155105407
3,0.05,0.25,0.924135619110226
4,0.05,0.25,0.831023360368838
5,0.05,0.25,0.836150407890285
6,0.05,0.25,0.813834185557108
2,0.1,0.25,0.945998661894096
3,0.1,0.25,0.92811878078473
4,0.1,0.25,0.872389974885945
5,0.1,0.25,0.751213427130731
6,0.1,0.25,0.819872982640979
2,0.15,0.25,0.951184602976239
3,0.15,0.25,0.938732813824024
4,0.15,0.25,0.878205128478505
5,0.15,0.25,0.751319134183536
6,0.15,0.25,0.814448757359256
2,0.2,0.25,0.964299236853089
3,0.2,0.25,0.92556835967043
4,0.2,0.25,0.882274351769063
5,0.2,0.25,0.81864777481892
6,0.2,0.25,0.815569381050513
2,0.25,0.25,0.961070667650066
3,0.25,0.25,0.942799826301902
4,0.25,0.25,0.884418208835829
5,0.25,0.25,0.809629736918628
6,0.25,0.25,0.803916830737243
2,0.3,0.25,0.968093395671691
3,0.3,0.25,0.942728916987504
4,0.3,0.25,0.908887181352328
5,0.3,0.25,0.742567394452757
6,0.3,0.25,0.804504427470718
2,0.35,0.25,0.953226604585655
3,0.35,0.25,0.938201102791355
4,0.35,0.25,0.904051209629788
5,0.35,0.25,0.703917479008201
6,0.35,0.25,0.776873816244826
2,0.4,0.25,0.966538318726429
3,0.4,0.25,0.943548505629888
4,0.4,0.25,0.90511432273064
5,0.4,0.25,0.735171427491625
6,0.4,0.25,0.772978758380455
2,0.45,0.25,0.961848580636788
3,0.45,0.25,0.942330728076821
4,0.45,0.25,0.903954005838057
5,0.45,0.25,0.706381588538238
6,0.45,0.25,0.753290385541765
2,0.5,0.25,0.970999577886789
3,0.5,0.25,0.940872292903001
4,0.5,0.25,0.909725102169331
5,0.5,0.25,0.781619394992191
6,0.5,0.25,0.730651427060898
2,0.55,0.25,0.95519897279115
3,0.55,0.25,0.917618907897683
4,0.55,0.25,0.909021079486388
5,0.55,0.25,0.800178907914519
6,0.55,0.25,0.738340601111383
2,0.6,0.25,0.955487904530383
3,0.6,0.25,0.912371775138342
4,0.6,0.25,0.906449788499192
5,0.6,0.25,0.822923126064752
6,0.6,0.25,0.761267878849009
2,0.65,0.25,0.942520054385789
3,0.65,0.25,0.91591290971756
4,0.65,0.25,0.901048312480326
5,0.65,0.25,0.829059687628205
6,0.65,0.25,0.74510416994415
2,0.7,0.25,0.951995371407368
3,0.7,0.25,0.931721463771377
4,0.7,0.25,0.887428801326325
5,0.7,0.25,0.816380727905876
6,0.7,0.25,0.771261522027827
2,0.75,0.25,0.938336855053594
3,0.75,0.25,0.934073026171509
4,0.75,0.25,0.880583685506624
5,0.75,0.25,0.837095017881484
6,0.75,0.25,0.796834090340124
2,0.8,0.25,0.931498640730267
3,0.8,0.25,0.924881055624398
4,0.8,0.25,0.861893958824823
5,0.8,0.25,0.831182959056124
6,0.8,0.25,0.828344879445734
2,0.85,0.25,0.907939275288339
3,0.85,0.25,0.919680657241759
4,0.85,0.25,0.882622092202969
5,0.85,0.25,0.840937728711375
6,0.85,0.25,0.843656014668794
2,0.9,0.25,0.921859713104923
3,0.9,0.25,0.929336840322794
4,0.9,0.25,0.915056430061406
5,0.9,0.25,0.848233483487435
6,0.9,0.25,0.857719734805871
2,0.95,0.25,0.876362653082019
3,0.95,0.25,0.92135446750511
4,0.95,0.25,0.917021527633596
5,0.95,0.25,0.847159303940786
6,0.95,0.25,0.866108453215674
2,1,0.25,0.86943153768921
3,1,0.25,0.8992664242817
4,1,0.25,0.922417258580518
5,1,0.25,0.850028297379702
6,1,0.25,0.863796252593054
2,0,0.3,0.926086857695193
3,0,0.3,0.905937640606999
4,0,0.3,0.74301130991434
5,0,0.3,0.816108397341132
6,0,0.3,0.837607012658567
2,0.05,0.3,0.920695197901092
3,0.05,0.3,0.918179057402936
4,0.05,0.3,0.777482441190527
5,0.05,0.3,0.762977957997959
6,0.05,0.3,0.833153845044608
2,0.1,0.3,0.942071201753116
3,0.1,0.3,0.922970441592412
4,0.1,0.3,0.792774111308714
5,0.1,0.3,0.783427843121089
6,0.1,0.3,0.825118380496422
2,0.15,0.3,0.949352362406908
3,0.15,0.3,0.914300086211558
4,0.15,0.3,0.821022519309545
5,0.15,0.3,0.793306893857575
6,0.15,0.3,0.829647012436287
2,0.2,0.3,0.940246891357682
3,0.2,0.3,0.91550993480144
4,0.2,0.3,0.848341139871487
5,0.2,0.3,0.785674938311042
6,0.2,0.3,0.822809897395949
2,0.25,0.3,0.961434352680526
3,0.25,0.3,0.923995519028365
4,0.25,0.3,0.879638356685036
5,0.25,0.3,0.801993060195677
6,0.25,0.3,0.832756990622178
2,0.3,0.3,0.981254632252592
3,0.3,0.3,0.928162502761425
4,0.3,0.3,0.880484206470498
5,0.3,0.3,0.789823571710678
6,0.3,0.3,0.834461551030706
2,0.35,0.3,0.976643456242158
3,0.35,0.3,0.918599782718081
4,0.35,0.3,0.883793412540509
5,0.35,0.3,0.796387552204944
6,0.35,0.3,0.82602944380746
2,0.4,0.3,0.984601987174921
3,0.4,0.3,0.923749970388177
4,0.4,0.3,0.887790330954346
5,0.4,0.3,0.772270385188702
6,0.4,0.3,0.803244801893428
2,0.45,0.3,0.974480096359806
3,0.45,0.3,0.918336412854961
4,0.45,0.3,0.89272791445086
5,0.45,0.3,0.762877606106921
6,0.45,0.3,0.798700796071678
2,0.5,0.3,0.977530334658812
3,0.5,0.3,0.895084022868801
4,0.5,0.3,0.861472109809757
5,0.5,0.3,0.752049937068942
6,0.5,0.3,0.796183929967604
2,0.55,0.3,0.975307684853759
3,0.55,0.3,0.906215190960666
4,0.55,0.3,0.868273279312832
5,0.55,0.3,0.723230360889001
6,0.55,0.3,0.782175084335837
2,0.6,0.3,0.96704941719597
3,0.6,0.3,0.912613694067593
4,0.6,0.3,0.869264577109943
5,0.6,0.3,0.685875336867968
6,0.6,0.3,0.757502043150632
2,0.65,0.3,0.972100707845299
3,0.65,0.3,0.911814234299836
4,0.65,0.3,0.872155493346009
5,0.65,0.3,0.77719087811663
6,0.65,0.3,0.716762809794652
2,0.7,0.3,0.960330875827021
3,0.7,0.3,0.911956557544508
4,0.7,0.3,0.863410806218238
5,0.7,0.3,0.77053421410918
6,0.7,0.3,0.693072716169952
2,0.75,0.3,0.948559839184252
3,0.75,0.3,0.905900035879724
4,0.75,0.3,0.878603941106539
5,0.75,0.3,0.795461313256479
6,0.75,0.3,0.740864887348861
2,0.8,0.3,0.952101883304581
3,0.8,0.3,0.900647043282192
4,0.8,0.3,0.87502669761824
5,0.8,0.3,0.813894354786147
6,0.8,0.3,0.69793096599097
2,0.85,0.3,0.932313024816138
3,0.85,0.3,0.912112760874093
4,0.85,0.3,0.8762605753234
5,0.85,0.3,0.825196811528326
6,0.85,0.3,0.806453741090796
2,0.9,0.3,0.913183342991182
3,0.9,0.3,0.910283540257797
4,0.9,0.3,0.893847718732016
5,0.9,0.3,0.831214642832013
6,0.9,0.3,0.825668151408227
2,0.95,0.3,0.913050171530042
3,0.95,0.3,0.911657838004048
4,0.95,0.3,0.898767429679191
5,0.95,0.3,0.820898264530932
6,0.95,0.3,0.835638416776433
2,1,0.3,0.89097851655158
3,1,0.3,0.898299002190732
4,1,0.3,0.909272855622936
5,1,0.3,0.828711048975317
6,1,0.3,0.848006077535352
2,0,0.35,0.941705689603276
3,0,0.35,0.913774111601943
4,0,0.35,0.72385637755821
5,0,0.35,0.705183952342381
6,0,0.35,0.892580870025324
2,0.05,0.35,0.93733696527226
3,0.05,0.35,0.930335139027297
4,0.05,0.35,0.724826263842941
5,0.05,0.35,0.780629020527373
6,0.05,0.35,0.863325666596264
2,0.1,0.35,0.93368609694751
3,0.1,0.35,0.919090556532702
4,0.1,0.35,0.684879448059627
5,0.1,0.35,0.796485926011548
6,0.1,0.35,0.851591032156395
2,0.15,0.35,0.948227858141236
3,0.15,0.35,0.920027367909491
4,0.15,0.35,0.715958322191816
5,0.15,0.35,0.805005786472783
6,0.15,0.35,0.859818555408298
2,0.2,0.35,0.971359049083794
3,0.2,0.35,0.91971051742614
4,0.2,0.35,0.749724882300907
5,0.2,0.35,0.81997275187721
6,0.2,0.35,0.851007266243869
2,0.25,0.35,0.970187214092166
3,0.25,0.35,0.931118973927764
4,0.25,0.35,0.804375693309878
5,0.25,0.35,0.805525625495249
6,0.25,0.35,0.8321288275757
2,0.3,0.35,0.960834738974331
3,0.3,0.35,0.918013282196002
4,0.3,0.35,0.802550179233806
5,0.3,0.35,0.819103609432917
6,0.3,0.35,0.826719549561729
2,0.35,0.35,0.970986916221994
3,0.35,0.35,0.912918090519524
4,0.35,0.35,0.855310573031673
5,0.35,0.35,0.840825315078922
6,0.35,0.35,0.847792608035587
2,0.4,0.35,0.96426129242162
3,0.4,0.35,0.914582480877638
4,0.4,0.35,0.868543223338583
5,0.4,0.35,0.831126081586902
6,0.4,0.35,0.836390042723164
2,0.45,0.35,0.97934371678732
3,0.45,0.35,0.928432529640892
4,0.45,0.35,0.893040125307235
5,0.45,0.35,0.846477009831267
6,0.45,0.35,0.832185702808278
2,0.5,0.35,0.96732551743428
3,0.5,0.35,0.909795838258617
4,0.5,0.35,0.886403124275085
5,0.5,0.35,0.827080643996504
6,0.5,0.35,0.819508760474481
2,0.55,0.35,0.975713817387563
