"k","alpha","omega","stabilite"
6,1,0.05,0.721097303924128
2,0,0.1,0.939355475972697
3,0,0.1,0.89652575148531
4,0,0.1,0.900776422562451
5,0,0.1,0.734295227182348
6,0,0.1,0.705861791329946
2,0.05,0.1,0.936186224502429
3,0.05,0.1,0.897312816554697
4,0.05,0.1,0.906688685304853
5,0.05,0.1,0.733103166710435
6,0.05,0.1,0.686511262707193
2,0.1,0.1,0.954318219162286
3,0.1,0.1,0.901835023043512
4,0.1,0.1,0.899489947356299
5,0.1,0.1,0.759911233791212
6,0.1,0.1,0.682429261040458
2,0.15,0.1,0.942885936697541
3,0.15,0.1,0.904101836414249
4,0.15,0.1,0.881500172460373
5,0.15,0.1,0.763546410398562
6,0.15,0.1,0.707117335885657
2,0.2,0.1,0.936501901081707
3,0.2,0.1,0.865470563074385
4,0.2,0.1,0.866441635745649
5,0.2,0.1,0.758539004676748
6,0.2,0.1,0.680722637165684
2,0.25,0.1,0.951819098031852
3,0.25,0.1,0.872383500080127
4,0.25,0.1,0.87639426761487
5,0.25,0.1,0.765796182353297
6,0.25,0.1,0.698790007903398
2,0.3,0.1,0.951010690654188
3,0.3,0.1,0.887503332431025
4,0.3,0.1,0.866899294601429
5,0.3,0.1,0.681709875092116
6,0.3,0.1,0.721765554592555
2,0.35,0.1,0.950875424033586
3,0.35,0.1,0.884016477288346
4,0.35,0.1,0.887031458996534
5,0.35,0.1,0.65609933356178
6,0.35,0.1,0.672920076418554
2,0.4,0.1,0.955272493539583
3,0.4,0.1,0.859053606028511
4,0.4,0.1,0.858556669443327
5,0.4,0.1,0.766707821398414
6,0.4,0.1,0.715334544250692
2,0.45,0.1,0.946767356760791
3,0.45,0.1,0.867296248914877
4,0.45,0.1,0.879411788096236
5,0.45,0.1,0.765448303726746
6,0.45,0.1,0.731633910467083
2,0.5,0.1,0.942879399221495
3,0.5,0.1,0.863497397348349
4,0.5,0.1,0.85938431687231
5,0.5,0.1,0.777747162128346
6,0.5,0.1,0.721621213847074
2,0.55,0.1,0.943098299384819
3,0.55,0.1,0.851730223855975
4,0.55,0.1,0.83917126515494
5,0.55,0.1,0.779066124345822
6,0.55,0.1,0.71286049300456
2,0.6,0.1,0.957325748773241
3,0.6,0.1,0.861867218367058
4,0.6,0.1,0.850159063805414
5,0.6,0.1,0.771229206873349
6,0.6,0.1,0.716697290701444
2,0.65,0.1,0.95710458201646
3,0.65,0.1,0.861405950789654
4,0.65,0.1,0.845771134462849
5,0.65,0.1,0.769600352914432
6,0.65,0.1,0.706679052426583
2,0.7,0.1,0.94309790557175
3,0.7,0.1,0.839921856280784
4,0.7,0.1,0.82662463370047
5,0.7,0.1,0.777490375639686
6,0.7,0.1,0.671995846717333
2,0.75,0.1,0.946700487240028
3,0.75,0.1,0.846168001316322
4,0.75,0.1,0.824107744349091
5,0.75,0.1,0.767280290250834
6,0.75,0.1,0.689847909104648
2,0.8,0.1,0.93240573957509
3,0.8,0.1,0.84381128946057
4,0.8,0.1,0.845915841402793
5,0.8,0.1,0.760156609877957
6,0.8,0.1,0.695979053173347
2,0.85,0.1,0.932333391200155
3,0.85,0.1,0.85680316149018
4,0.85,0.1,0.823988647377301
5,0.85,0.1,0.790869010998458
6,0.85,0.1,0.665754631528559
2,0.9,0.1,0.941863286736512
3,0.9,0.1,0.837555544953798
4,0.9,0.1,0.817710608757194
5,0.9,0.1,0.787092759369542
6,0.9,0.1,0.663124380464167
2,0.95,0.1,0.91880806590164
3,0.95,0.1,0.840722834134021
4,0.95,0.1,0.832464862936336
5,0.95,0.1,0.785252783923959
6,0.95,0.1,0.68150670900595
2,1,0.1,0.936509799768634
3,1,0.1,0.833694790234795
4,1,0.1,0.824814086830848
5,1,0.1,0.77145600761431
6,1,0.1,0.707219067444908
2,0,0.15,0.922912862454715
3,0,0.15,0.919781661895064
4,0,0.15,0.919330592073071
5,0,0.15,0.793480483477051
6,0,0.15,0.729894405436111
2,0.05,0.15,0.92005855000668
3,0.05,0.15,0.918628476995364
4,0.05,0.15,0.906042290182858
5,0.05,0.15,0.798986354402277
6,0.05,0.15,0.723279509686944
2,0.1,0.15,0.930321935674469
3,0.1,0.15,0.894131620964198
4,0.1,0.15,0.899886226722432
5,0.1,0.15,0.802293655297155
6,0.1,0.15,0.713937847172926
2,0.15,0.15,0.915945661476507
3,0.15,0.15,0.889042937022635
4,0.15,0.15,0.87090658725739
5,0.15,0.15,0.817096183374969
6,0.15,0.15,0.689916746257683
2,0.2,0.15,0.945511665728347
3,0.2,0.15,0.903829031893334
4,0.2,0.15,0.888917036915266
5,0.2,0.15,0.820563580010747
6,0.2,0.15,0.708908580284074
2,0.25,0.15,0.943749152415548
3,0.25,0.15,0.890094127997347
4,0.25,0.15,0.873533033433163
5,0.25,0.15,0.81508952828266
6,0.25,0.15,0.698288242480042
2,0.3,0.15,0.938549619100734
3,0.3,0.15,0.859226909432509
4,0.3,0.15,0.863549829392814
5,0.3,0.15,0.808780065814522
6,0.3,0.15,0.675178853261577
2,0.35,0.15,0.938831821417659
3,0.35,0.15,0.862365182870674
4,0.35,0.15,0.856983243022696
5,0.35,0.15,0.797499805432735
6,0.35,0.15,0.681347918217288
2,0.4,0.15,0.929764647458591
3,0.4,0.15,0.8885628632054
4,0.4,0.15,0.836710084311548
5,0.4,0.15,0.778131821636268
6,0.4,0.15,0.693907357600387
2,0.45,0.15,0.933501185850991
3,0.45,0.15,0.863828623302456
4,0.45,0.15,0.853851937271855
5,0.45,0.15,0.802306939979122
6,0.45,0.15,0.673970983885168
2,0.5,0.15,0.935762759906724
3,0.5,0.15,0.853066768939278
4,0.5,0.15,0.855429447902008
5,0.5,0.15,0.77695628331358
6,0.5,0.15,0.672959930753446
2,0.55,0.15,0.941548513339928
3,0.55,0.15,0.844359089638485
4,0.55,0.15,0.867084766692007
5,0.55,0.15,0.805342818176674
6,0.55,0.15,0.685795223860699
2,0.6,0.15,0.931138479955937
3,0.6,0.15,0.843178967294329
4,0.6,0.15,0.842482816355488
5,0.6,0.15,0.786631610094012
6,0.6,0.15,0.670974781293434
2,0.65,0.15,0.941933487744066
3,0.65,0.15,0.813132478745546
4,0.65,0.15,0.864367220002097
5,0.65,0.15,0.784019923992426
6,0.65,0.15,0.664048007177423
2,0.7,0.15,0.944411085716397
3,0.7,0.15,0.838502285239161
4,0.7,0.15,0.861690584769512
5,0.7,0.15,0.758789653377878
6,0.7,0.15,0.711971062428577
2,0.75,0.15,0.946637198845708
3,0.75,0.15,0.828271824401984
4,0.75,0.15,0.84452890487873
5,0.75,0.15,0.776584267133222
6,0.75,0.15,0.705072265495143
2,0.8,0.15,0.943980564807167
3,0.8,0.15,0.823077567677791
4,0.8,0.15,0.837639258772507
5,0.8,0.15,0.762715274688267
6,0.8,0.15,0.746802784955694
2,0.85,0.15,0.93643575175231
3,0.85,0.15,0.792262940553243
4,0.85,0.15,0.846520107236954
5,0.85,0.15,0.761189230011215
6,0.85,0.15,0.704825541926207
2,0.9,0.15,0.954688721725072
3,0.9,0.15,0.800233791335236
4,0.9,0.15,0.852922141947802
